42,1319,東陽,"961,668",745,"37,320,502",38.40,39.20,38.40,39.00,+,0.5,38.90,12,39.00,8,20.31,20210107
43,1321,大洋,"639,165",316,"23,058,390",35.90,36.30,35.85,36.20,+,0.5,36.10,8,36.20,4,14.03,20210107
44,1323,永裕,"43,511",31,"1,435,892",33.10,33.10,32.85,33.00,-,0.1,32.95,3,33.00,13,10.19,20210107
45,1324,地球,"63,223",32,"652,262",10.45,10.45,10.25,10.30,-,0.05,10.30,6,10.35,4,46.82,20210107
46,1325,恆大,"1,735,709","1,406","149,267,880",86.20,87.30,85.00,85.20,-,1.3,85.20,38,85.30,24,5.07,20210107
47,1326,台化,"11,152,783","6,252","948,572,500",83.90,86.00,83.50,85.80,+,2.5,85.70,85,85.80,178,40.28,20210107
48,1337,再生-KY,"1,798,618",766,"16,155,771",8.90,9.10,8.90,8.92,+,0.03,8.92,48,8.93,1,0.00,20210107
49,1338,廣華-KY,"4,106,308","2,788","282,460,032",64.40,70.40,64.40,70.40,+,6.4,70.40,115,--,0,24.88,20210107
50,1339,昭輝,"498,143",354,"22,443,576",44.30,45.75,44.10,45.15,+,1.15,45.15,5,45.20,2,29.70,20210107
51,1340,勝悅-KY,"467,005",360,"5,660,582",12.25,12.30,12.00,12.15,-,0.15,12.10,5,12.15,35,0.00,20210107
52,1341,富林-KY,"4,005",4,"236,292",59.00,59.00,59.00,59.00,+,0.5,58.60,1,59.00,2,10.71,20210107
53,1342,八貫,"67,133",58,"3,947,309",58.60,59.10,58.60,58.70,-,0.2,58.60,10,58.70,3,19.97,20210107
54,1402,遠東新,"6,175,408","2,785","175,797,005",28.40,28.70,28.35,28.35, ,0.0,28.35,231,28.40,125,16.98,20210107
55,1409,新纖,"17,812,732","5,337","258,393,759",14.85,15.00,14.25,14.40,-,0.4,14.40,277,14.45,41,9.54,20210107
56,1410,南染,"4,625",9,"155,901",33.50,34.00,33.50,33.75, ,0.0,33.75,1,33.90,1,39.71,20210107
57,1413,宏洲,"120,415",31,"1,056,962",8.81,8.85,8.70,8.85,+,0.04,8.75,6,8.84,3,0.00,20210107
58,1414,東和,"1,828,738",678,"24,168,002",13.00,13.60,12.90,13.45,+,0.5,13.40,2,13.45,14,30.57,20210107
59,1416,廣豐,"163,512",124,"1,902,531",11.60,11.70,11.60,11.60,+,0.05,11.55,232,11.60,18,0.00,20210107
60,1417,嘉裕,"559,342",204,"6,266,565",11.25,11.30,11.10,11.25,+,0.1,11.25,1,11.30,50,40.18,20210107
61,1418,東華,"5,775",9,"42,415",7.86,7.86,7.05,7.23,+,0.03,7.21,1,7.68,2,0.00,20210107
62,1419,新紡,"32,072",32,"1,327,996",41.80,41.90,41.30,41.45,-,0.05,41.30,1,41.45,7,38.03,20210107
63,1423,利華,"282,639",117,"4,799,913",17.00,17.10,16.85,17.00,+,0.2,16.95,17,17.00,5,0.00,20210107
64,1432,大魯閣,"311,399",230,"4,115,314",13.45,13.50,13.05,13.20,-,0.25,13.10,27,13.20,4,0.00,20210107
65,1434,福懋,"5,692,280","2,422","173,228,163",30.50,30.60,30.35,30.55,-,0.05,30.50,1,30.55,29,13.82,20210107
66,1435,中福,"1,333,949",569,"38,305,096",27.60,29.20,26.70,29.20,+,2.65,29.20,16,--,0,0.00,20210107
67,1436,華友聯,"45,188",38,"1,712,090",38.20,38.20,37.80,38.05,+,0.15,37.90,2,38.05,2,8.29,20210107
68,1437,勤益控,"167,937",71,"4,112,401",24.60,24.60,24.45,24.60,+,0.1,24.50,1,24.60,7,16.97,20210107
69,1438,三地開發,"31,210",14,"370,986",11.90,11.90,11.85,11.85,-,0.05,11.85,16,12.00,14,25.21,20210107
70,1439,中和,"68,004",42,"1,889,759",27.80,27.95,27.65,27.65,-,0.15,27.60,4,27.65,34,62.84,20210107
71,1440,南紡,"5,159,412","1,422","73,282,526",14.20,14.30,14.05,14.25,+,0.25,14.20,209,14.25,32,83.82,20210107
72,1441,大東,"208,936",125,"1,755,307",8.38,8.48,8.37,8.40,+,0.04,8.39,2,8.43,5,0.00,20210107
73,1442,名軒,"186,359",90,"3,299,417",17.60,17.80,17.60,17.75,+,0.15,17.75,2,17.80,50,126.79,20210107
74,1443,立益,"130,997",41,"1,516,463",11.60,11.70,11.40,11.65, ,0.0,11.40,7,11.65,9,0.00,20210107
75,1444,力麗,"8,014,184","2,731","99,807,399",12.60,12.65,12.35,12.40, ,0.0,12.40,33,12.45,54,0.00,20210107
76,1445,大宇,"175,167",73,"1,950,811",11.00,11.25,10.95,11.10,+,0.15,11.00,39,11.10,3,0.00,20210107
77,1446,宏和,"127,188",96,"4,026,157",32.05,32.20,31.10,31.60,-,0.3,31.50,6,31.65,13,395.00,20210107
78,1447,力鵬,"13,045,499","3,712","120,701,471",9.42,9.42,9.01,9.30,+,0.11,9.30,256,9.31,43,0.00,20210107
79,1449,佳和,"674,464",446,"17,413,167",24.45,26.90,24.45,26.65,+,0.1,26.60,11,26.65,23,0.00,20210107
80,1451,年興,"230,586",122,"3,918,021",16.90,17.10,16.90,16.95, ,0.0,16.95,2,17.00,4,0.00,20210107
81,1452,宏益,"624,253",191,"10,683,151",17.75,17.75,16.95,17.00,+,0.2,17.00,2,17.05,26,31.48,20210107
82,1453,大將,"40,046",43,"348,058",8.63,8.79,8.63,8.76,+,0.17,8.70,2,8.72,4,0.00,20210107
83,1454,台富,"97,905",48,"853,149",8.68,8.85,8.68,8.69,+,0.01,8.69,1,8.70,2,0.00,20210107
84,1455,集盛,"3,571,395","1,197","37,021,709",10.45,10.60,10.25,10.30, ,0.0,10.30,196,10.35,3,0.00,20210107
