"110年04月27日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","486,259,617,449","9,743,833,017","3,651,566",
"2.台灣存託憑證","427,871,942","37,559,600","10,692",
"3.受益憑證","0","0","0",
"4.ETF","8,953,210,810","601,577,059","108,969",
"5.受益證券","9,560,490","719,215","154",
"6.變更交易股票","67,870,551","11,123,492","2,941",
"7.認購(售)權證","4,744,694,540","3,144,959,000","154,133",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","126,358,390","18,029,000","2,757",
"證券合計(1+6)","486,327,488,000","9,754,956,509","3,654,507",
"總計(1~13)","500,589,184,172","13,557,800,383","3,931,212",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,725(70)","479(31)",
"下跌(跌停)","5,757(16)","399(0)",
"持平","685","71",
"未成交","9,977","0",
"無比價","1,496","0",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

